,0
TCGA_44_4112,0.5351032258064516
TCGA_NJ_A4YP,0.5413612903225806
TCGA_86_8278,0.5009677419354839
TCGA_62_A470,0.37327096774193547
TCGA_44_6778,0.41924193548387095
TCGA_49_AARQ,0.4828066666666667
TCGA_97_A4M1,0.5497032258064515
TCGA_55_6975,0.5058548387096774
TCGA_99_8033,0.6017451612903225
TCGA_78_7149,0.6681709677419354
TCGA_50_6597,0.6146193548387097
TCGA_69_8255,0.41134193548387094
TCGA_69_8453,0.5755838709677418
TCGA_97_8552,0.5943064516129033
TCGA_53_A4EZ,0.5056096774193548
TCGA_78_7162,0.6375387096774193
TCGA_75_7025,0.5703483870967742
TCGA_44_2659_11,0.6192677419354838
TCGA_62_A46U,0.6157967741935484
TCGA_MP_A4T8,0.5247161290322581
TCGA_44_5645_11,0.6051258064516128
TCGA_93_A4JN,0.5376000000000001
TCGA_55_8096,0.47685161290322575
TCGA_93_A4JQ,0.5371548387096774
TCGA_86_6851,0.3885387096774192
TCGA_62_8398,0.5670129032258066
TCGA_J2_A4AG,0.5191645161290321
TCGA_MP_A4TK,0.522841935483871
TCGA_L9_A443,0.6421709677419356
TCGA_55_8208,0.5336032258064517
TCGA_MN_A4N5,0.5841322580645161
TCGA_64_5775,0.35822333333333334
TCGA_62_8394,0.3927806451612904
TCGA_05_4405,0.5709322580645161
TCGA_97_8176,0.6094032258064517
TCGA_05_5428,0.4326483870967743
TCGA_50_5931,0.5615322580645162
TCGA_49_AAR4,0.4704645161290323
TCGA_64_1679,0.5362935483870968
TCGA_55_6984,0.5536677419354838
TCGA_MN_A4N1,0.5022096774193548
TCGA_91_6847,0.5749870967741936
TCGA_86_8358,0.4828193548387097
TCGA_49_AARO,0.44288387096774195
TCGA_75_6206,0.6812967741935483
TCGA_MP_A4TC,0.49342258064516126
TCGA_49_6744,0.5595000000000001
TCGA_L9_A743,0.5258322580645162
TCGA_05_4410,0.4907774193548388
TCGA_86_7954,0.4546774193548387
TCGA_55_7910,0.39210000000000006
TCGA_64_5778,0.5716225806451614
TCGA_62_A46Y,0.5506967741935485
TCGA_55_6982,0.4626870967741935
TCGA_55_6642,0.4663193548387096
TCGA_44_6144,0.3978354838709677
TCGA_05_4415,0.6185064516129032
TCGA_44_A479,0.4881903225806451
TCGA_55_8087,0.6125387096774193
TCGA_50_6673,0.414867741935484
TCGA_55_8207,0.5608645161290322
TCGA_44_2662_11,0.6431290322580645
TCGA_86_6562,0.42357741935483867
TCGA_05_4425,0.6077903225806452
TCGA_86_8074,0.41444516129032255
