,0
TCGA_G9_6343,0.39416999999999996
TCGA_KK_A8IA,0.5763774193548385
TCGA_KK_A6E4,0.46346129032258065
TCGA_EJ_AB20,0.6239677419354839
TCGA_H9_7775,0.5226193548387097
TCGA_XJ_A9DX,0.6285935483870969
TCGA_KK_A6E6,0.5678548387096775
TCGA_G9_6339,0.48938709677419356
TCGA_EJ_5509,0.39184838709677416
TCGA_EJ_5521,0.4920064516129033
TCGA_YL_A8SB,0.5248129032258064
TCGA_V1_A9OF,0.38960645161290325
TCGA_CH_5754,0.33745483870967746
TCGA_EJ_7125,0.3499064516129032
TCGA_EJ_7797,0.6112290322580644
TCGA_YL_A9WI,0.1798612903225807
TCGA_EJ_7314,0.5837645161290322
TCGA_XA_A8JR,0.4934096774193549
TCGA_EJ_7781,0.46286451612903223
TCGA_QU_A6IN,0.61224
TCGA_CH_5751,0.468783870967742
TCGA_V1_A8WL,0.3817645161290323
TCGA_HC_A6AO,0.23901290322580646
TCGA_KK_A7B3,0.3955741935483871
TCGA_XK_AAJT,0.4073
TCGA_EJ_AB27,0.5714677419354838
TCGA_CH_5788,0.32025806451612904
TCGA_KK_A8I5,0.6237709677419356
TCGA_YL_A8S9,0.3092548387096774
TCGA_CH_5761,0.3596096774193549
TCGA_KK_A7AZ,0.3153483870967742
TCGA_G9_6366,0.5085225806451613
TCGA_HC_7819,0.6224290322580645
TCGA_KC_A4BN,0.5465066666666666
TCGA_KK_A8IG,0.2656548387096774
TCGA_ZG_A8QW,0.4933225806451612
TCGA_EJ_7786,0.5136999999999999
TCGA_J4_A83K,0.6141333333333333
TCGA_YL_A8HK,0.5423290322580645
TCGA_EJ_5501,0.5189354838709678
TCGA_EJ_8470,0.4862548387096773
TCGA_J9_A8CL,0.4132935483870968
TCGA_EJ_A7NF,0.5759451612903226
TCGA_CH_5762_11,0.5830709677419355
TCGA_XK_AAJA,0.2779193548387097
TCGA_EJ_7330,0.4937129032258064
TCGA_VP_AA1N,0.27490967741935485
TCGA_EJ_5524,0.6207516129032259
TCGA_KK_A6E8,0.2119451612903226
TCGA_HC_7821,0.6570387096774193
TCGA_HC_7209,0.6366709677419354
TCGA_HC_7742,0.4219633333333333
TCGA_G9_6351,0.6387483870967742
TCGA_EJ_8474,0.5055258064516128
TCGA_HC_7075,0.46368387096774194
TCGA_J9_A8CP,0.2843612903225806
TCGA_KK_A8IM,0.563358064516129
TCGA_G9_6348,0.5891193548387098
TCGA_CH_5789,0.5873741935483872
TCGA_KC_A7F6,0.5877161290322582
TCGA_G9_6333_11,0.5927354838709677
TCGA_KC_A4BL,0.5238677419354838
TCGA_J4_A67Q,0.5110806451612903
TCGA_2A_A8VL,0.5793032258064517
