Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000112619,PRPH2,9.833771222202218,4.386772781717564e-18,5.104903733391328e-15
ENSG00000116774,OLFML3,9.852582303968896,5.0424634501111676e-18,5.6583643429461745e-15
ENSG00000169083,AR,9.813079839111413,5.451420844558644e-18,5.906332515035607e-15
ENSG00000204131,NHSL2,9.753211428081007,5.7078958918423496e-18,5.9780696307228875e-15
ENSG00000183722,LHFPL6,9.704265612122114,6.348773460777581e-18,6.4340365164132165e-15
ENSG00000119865,CNRIP1,9.765074879711621,6.5528061274736766e-18,6.4340365164132165e-15
ENSG00000151917,BEND6,9.814112798805636,8.195429502093097e-18,7.803042271386821e-15
ENSG00000134201,GSTM5,9.64213101059028,8.560891662047796e-18,7.906286215305671e-15
ENSG00000142686,C1orf216,9.777579120931385,8.807129775165452e-18,7.906286215305671e-15
ENSG00000137509,PRCP,9.644940939823451,9.897395944815431e-18,8.404761637462184e-15
ENSG00000162694,EXTL2,9.785219994910282,9.677606153991539e-18,8.404761637462184e-15
ENSG00000163637,PRICKLE2,9.65621791059391,1.0461747971160253e-17,8.428413365483464e-15
ENSG00000146122,DAAM2,9.569642062795532,1.0450319485526326e-17,8.428413365483464e-15
ENSG00000079931,MOXD1,9.615635067986007,1.2132215964181345e-17,9.529855639864447e-15
ENSG00000120820,GLT8D2,9.568015109516093,1.3901748956650947e-17,1.065348663946275e-14
ENSG00000196628,TCF4,9.51030827852472,1.519167237329791e-17,1.1364817761167152e-14
ENSG00000183801,OLFML1,9.563143165446215,1.6119757129076935e-17,1.1510972022627211e-14
ENSG00000154096,THY1,9.63112824755285,1.6041311466882082e-17,1.1510972022627211e-14
ENSG00000215386,MIR99AHG,9.731535433444954,1.9619752387559933e-17,1.3698947111491848e-14
ENSG00000168386,FILIP1L,9.522761946697326,2.2160278681531888e-17,1.491247156186915e-14
ENSG00000182287,AP1S2,9.594416926572501,2.2307007110370782e-17,1.491247156186915e-14
ENSG00000131171,SH3BGRL,9.664207942338962,2.4943392683200204e-17,1.6327529127211468e-14
ENSG00000091986,CCDC80,9.445411090087552,2.8168174304391506e-17,1.7700880732879624e-14
ENSG00000165868,HSPA12A,9.556434611848239,2.763988345580624e-17,1.7700880732879624e-14
ENSG00000181804,SLC9A9,9.48494572302539,2.884353691700475e-17,1.7769880979064495e-14
ENSG00000165633,VSTM4,9.573636803931828,3.0096254129800745e-17,1.818508278381422e-14
ENSG00000197256,KANK2,9.392482747031934,3.536533702128606e-17,2.0965639419034113e-14
ENSG00000100154,TTC28,9.375081902272566,3.72819513280322e-17,2.129816201321403e-14
ENSG00000103196,CRISPLD2,9.367339993430743,3.712002542205454e-17,2.129816201321403e-14
ENSG00000095794,CREM,9.350937077883643,4.271942695281681e-17,2.2749904997584816e-14
ENSG00000196569,LAMA2,9.441930526526056,4.219320882254725e-17,2.2749904997584816e-14
ENSG00000162733,DDR2,9.430200109138958,4.200577976668929e-17,2.2749904997584816e-14
ENSG00000163453,IGFBP7,9.498168225885584,4.181588914985872e-17,2.2749904997584816e-14
ENSG00000162614,NEXN,9.33652482746653,5.0824693442422725e-17,2.580266789015251e-14
ENSG00000123094,RASSF8,9.571113808827619,5.004197926541691e-17,2.580266789015251e-14
ENSG00000123572,NRK,9.34107655880221,5.0915512704947663e-17,2.580266789015251e-14
ENSG00000104043,ATP8B4,9.34559361190937,5.273878626352302e-17,2.6302423244442756e-14
ENSG00000164125,GASK1B,9.42509125799155,5.564775987289842e-17,2.7319572112601067e-14
ENSG00000115841,RMDN2,9.393204167832714,5.839792085051482e-17,2.8228656509587322e-14
ENSG00000069431,ABCC9,9.322819530695787,6.294876764313445e-17,2.9967428474958857e-14
ENSG00000174348,PODN,9.37894817069762,6.462363881897265e-17,3.030559301033016e-14
ENSG00000169504,CLIC4,9.39650036261347,6.963202988601317e-17,3.19125824634715e-14
ENSG00000150764,DIXDC1,9.287691843805385,7.008173742773816e-17,3.19125824634715e-14
ENSG00000079150,FKBP7,9.302261193067126,7.740263451946794e-17,3.4736744677959764e-14
ENSG00000122786,CALD1,9.319645311893206,7.944704710962338e-17,3.4736744677959764e-14
ENSG00000145861,C1QTNF2,9.311448631758132,7.960043338042977e-17,3.4736744677959764e-14
ENSG00000106819,ASPN,9.304705027689396,8.319684433262543e-17,3.580883354700125e-14
ENSG00000166482,MFAP4,9.257407477756194,8.762210983921529e-17,3.720387420470465e-14
ENSG00000187955,COL14A1,9.226397895351235,9.008359958299023e-17,3.7482793776384354e-14
ENSG00000111058,ACSS3,9.408851268335363,9.066493720576738e-17,3.7482793776384354e-14
ENSG00000101955,SRPX,9.178282828740414,1.2271411248145386e-16,5.0073732651523117e-14
ENSG00000165457,FOLR2,9.219839873818145,1.262632641728221e-16,5.021761721911482e-14
ENSG00000164741,DLC1,9.181988590097196,1.2481447690801551e-16,5.021761721911482e-14
ENSG00000189320,FAM180A,9.207871876118858,1.3378020576486678e-16,5.254217581415143e-14
ENSG00000106034,CPED1,9.16604847472811,1.374286080354845e-16,5.330872672191263e-14
ENSG00000169554,ZEB2,9.350288487575751,1.4150668910607494e-16,5.422122160625457e-14
ENSG00000126785,RHOJ,9.205657904496563,1.47621209458698e-16,5.521736191895585e-14
ENSG00000218336,TENM3,9.226197271991188,1.4609036853641e-16,5.521736191895585e-14
ENSG00000046889,PREX2,9.16767902137509,1.55707058280476e-16,5.688739268805298e-14
ENSG00000170624,SGCD,9.209097017967055,1.5526762663694198e-16,5.688739268805298e-14
ENSG00000198795,ZNF521,9.199403552256518,1.6298175932872386e-16,5.886076871389085e-14
ENSG00000079819,EPB41L2,9.244101378624848,1.7353568695549068e-16,6.196012822888088e-14
ENSG00000154721,JAM2,9.125303455246316,2.0542519216812998e-16,7.25220172800297e-14
ENSG00000152049,KCNE4,9.203293523444891,2.2175211021592155e-16,7.44273685342038e-14
ENSG00000114698,PLSCR4,9.211074660927288,2.1862681875468987e-16,7.44273685342038e-14
ENSG00000115594,IL1R1,9.105125210313131,2.226662203123857e-16,7.44273685342038e-14
