Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000182621,PLCB1,10.522522277886111,7.814469398226718e-22,3.338341326922454e-19
ENSG00000144331,ZNF385B,-10.483291294419052,8.220931105876919e-22,3.4538478805740833e-19
ENSG00000172572,PDE3A,10.627842437445407,8.300445905249826e-22,3.4538478805740833e-19
ENSG00000133661,SFTPD,-10.458889318988335,8.677559658241618e-22,3.5644745057700186e-19
ENSG00000260943,LINC02555,-10.61432304890777,9.748214726953378e-22,3.9535797449567874e-19
ENSG00000167105,TMEM92,-10.441498337158542,1.010605792734822e-21,4.047476199902962e-19
ENSG00000140287,HDC,10.419021764831523,1.049620230371011e-21,4.1518311334675553e-19
ENSG00000155367,PPM1J,10.434477639110487,1.1062334529746434e-21,4.322404857720436e-19
ENSG00000204380,PKP4-AS1,10.518352495218961,1.1681107826446888e-21,4.509189093486245e-19
ENSG00000171124,FUT3,-10.40888331413831,1.2823527412525368e-21,4.891259741634676e-19
ENSG00000156265,MAP3K7CL,10.430520011407665,1.4116068948224884e-21,5.320927636483827e-19
ENSG00000131435,PDLIM4,10.44224165515224,1.519767794252586e-21,5.662018619517774e-19
ENSG00000261609,GAN,10.445021967908055,1.5387963502033645e-21,5.667015524197218e-19
ENSG00000114248,LRRC31,-10.398736280091615,1.676663788670258e-21,6.104580430567621e-19
ENSG00000171408,PDE7B,10.424315727627855,2.139317254103726e-21,7.701542114773414e-19
ENSG00000119457,SLC46A2,-10.2979357566382,3.423194587600198e-21,1.2186572731856707e-18
ENSG00000163564,PYHIN1,10.247038085122982,3.927669198614869e-21,1.382884847512312e-18
ENSG00000163121,NEURL3,10.220437262601966,4.273860877185096e-21,1.4884185054892444e-18
ENSG00000188305,PEAK3,-10.197570576273236,5.376574331834495e-21,1.8523165762578196e-18
ENSG00000250266,LINC01612,-10.32456485517494,6.735768635897896e-21,2.2958939052571124e-18
ENSG00000230701,FBXW4P1,10.209393816983988,7.188462184674057e-21,2.3991492541349662e-18
ENSG00000138378,STAT4,10.235018603074462,7.174372861586743e-21,2.3991492541349662e-18
ENSG00000123689,G0S2,10.151449322776301,7.486544027508682e-21,2.4728749550657545e-18
ENSG00000180772,AGTR2,-10.17576127059243,8.054850936222433e-21,2.6068426666319876e-18
ENSG00000145103,ILDR1,-10.152303515875214,7.976241396047646e-21,2.6068426666319876e-18
ENSG00000233429,HOTAIRM1,10.374552222016518,9.240107141465918e-21,2.9385130404788528e-18
ENSG00000162896,PIGR,-10.131058194657617,9.263102905379655e-21,2.9385130404788528e-18
ENSG00000138769,CDKL2,-10.127919235190953,9.867064491807967e-21,3.0994190815443852e-18
ENSG00000020577,SAMD4A,10.125002022881704,1.1429467911660584e-20,3.555341280481603e-18
ENSG00000113578,FGF1,10.106576754035329,1.162360024234616e-20,3.5809629977381825e-18
ENSG00000259248,USP3-AS1,10.200135832097272,1.3306498955462613e-20,4.0603831098383056e-18
ENSG00000125851,PCSK2,-10.101742784865458,1.4045604525920243e-20,4.245482726514005e-18
ENSG00000273129,PACERR,10.192154792810598,1.5110868043367552e-20,4.524787029060714e-18
ENSG00000140254,DUOXA1,-10.101893408008774,1.6357787988911913e-20,4.852810436710534e-18
ENSG00000112812,PRSS16,-10.02120541291762,1.9201093442616012e-20,5.6440645312056606e-18
ENSG00000170390,DCLK2,10.195466928503864,1.9779040985272105e-20,5.761095210619257e-18
ENSG00000116132,PRRX1,10.342810493542537,2.196483819847804e-20,6.340120863776905e-18
ENSG00000131400,NAPSA,-10.03266972542816,2.217924406781316e-20,6.344848035113693e-18
ENSG00000100033,PRODH,-10.0833085423467,2.3069640942601165e-20,6.5411619097428435e-18
ENSG00000243064,ABCC13,-9.987570085779243,2.4636845220518514e-20,6.92425018302994e-18
ENSG00000185332,TMEM105,-10.138433978138142,2.5300264492368905e-20,7.04887368987391e-18
ENSG00000221986,MYBPHL,-9.971228665206203,2.774819987463776e-20,7.664244172270635e-18
ENSG00000105855,ITGB8,9.983312302892926,2.826587669838741e-20,7.740501618943014e-18
ENSG00000011590,ZBTB32,10.002026059178833,3.3778724044521015e-20,9.171782359207231e-18
ENSG00000170542,SERPINB9,9.998937326024503,3.497688465379234e-20,9.41730575048325e-18
ENSG00000177363,LRRN4CL,10.017880304131204,3.607438398902872e-20,9.552258371970911e-18
ENSG00000145777,TSLP,9.937452477821852,3.5871685916672834e-20,9.552258371970911e-18
