Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000154175,ABI3BP,15.921250769424097,2.767445183501104e-35,2.6588229600486857e-32
ENSG00000116132,PRRX1,16.01649281551444,3.2320795794657135e-35,3.0111228663967846e-32
ENSG00000124749,COL21A1,15.955276198594694,4.395448033692706e-35,3.9745192455249575e-32
ENSG00000018236,CNTN1,15.734492241289274,4.719626293223279e-35,4.1457197359673277e-32
ENSG00000221818,EBF2,15.711373546550018,5.318203507668776e-35,4.541745795549135e-32
ENSG00000248485,PCP4L1,15.79300019316217,7.107362823355826e-35,5.602788785673115e-32
ENSG00000164116,GUCY1A1,15.66704747935251,7.069982865748437e-35,5.602788785673115e-32
ENSG00000135333,EPHA7,16.735290863718184,7.041444346660812e-35,5.602788785673115e-32
ENSG00000204381,LAYN,15.641225886972471,8.288207819404202e-35,6.37031652999407e-32
ENSG00000122641,INHBA,15.656019063507795,9.330478994637113e-35,6.996493810027399e-32
ENSG00000118407,FILIP1,15.784634447298759,1.1393552667507577e-34,8.340080552615547e-32
ENSG00000135914,HTR2B,15.799998688455249,1.2043179353018796e-34,8.610593163469996e-32
ENSG00000178531,CTXN1,15.870748112323001,1.259870229065068e-34,8.803056891449193e-32
ENSG00000077522,ACTN2,15.79096936426633,1.4163858711121042e-34,9.676748271437895e-32
ENSG00000066382,MPPED2,15.557386382651735,1.5529866358296414e-34,1.0379352419988368e-31
ENSG00000182253,SYNM,15.609982175427932,1.7895515076504485e-34,1.1705951393873485e-31
ENSG00000075213,SEMA3A,15.54900153664909,1.9344142348098888e-34,1.2389923173957337e-31
ENSG00000237125,HAND2-AS1,15.725578463653473,2.061720525641192e-34,1.2935823640880163e-31
ENSG00000249669,CARMN,15.485187553146105,2.613644529049414e-34,1.6070777480219036e-31
ENSG00000082293,COL19A1,15.43653248676737,3.2716745713723897e-34,1.9722424122014264e-31
ENSG00000053328,METTL24,15.391755502727404,4.162651925210521e-34,2.4610878997821586e-31
ENSG00000135298,ADGRB3,15.378050581174497,6.077729813300317e-34,3.525541988303867e-31
ENSG00000107130,NCS1,15.328710083294254,6.292328628493707e-34,3.582432432489084e-31
ENSG00000165966,PDZRN4,15.906011181226546,7.70269650699411e-34,4.305667298382308e-31
ENSG00000164107,HAND2,15.548248425947401,7.946306737818475e-34,4.362522399062343e-31
ENSG00000070193,FGF10,15.289565108262225,8.96348001076041e-34,4.834618060540666e-31
ENSG00000164106,SCRG1,15.579377713098168,1.2700068582923573e-33,6.731912215748316e-31
ENSG00000172987,HPSE2,15.53935105649483,1.350110388744969e-33,6.917965631929221e-31
ENSG00000213578,CPLX3,15.686913577268585,1.3481557439832784e-33,6.917965631929221e-31
ENSG00000075073,TACR2,16.39235353281613,1.7805533233159866e-33,8.877181278569133e-31
ENSG00000132563,REEP2,15.199366966403476,1.790220008038272e-33,8.877181278569133e-31
ENSG00000179954,SSC5D,15.190320808073771,1.996643717595211e-33,9.74362134186463e-31
ENSG00000082175,PGR,15.131439521598928,2.253651467774209e-33,1.0825978238320356e-30
ENSG00000156113,KCNMA1,15.121318894234573,2.4070618134135817e-33,1.1385032060244179e-30
ENSG00000165553,NGB,15.773167343651904,2.8461456800525798e-33,1.3257864058717653e-30
ENSG00000197565,COL4A6,15.186433529955572,3.822566842309698e-33,1.7540447014920798e-30
ENSG00000114200,BCHE,15.041425706934238,5.068258721259746e-33,2.289816173026142e-30
ENSG00000183230,CTNNA3,15.102497438362285,5.139126852029787e-33,2.289816173026142e-30
ENSG00000130176,CNN1,15.043879194711868,5.300787777923382e-33,2.328105992063949e-30
ENSG00000205795,CYS1,14.989341586053188,6.302908553078248e-33,2.729248176842784e-30
ENSG00000152377,SPOCK1,15.087318235188553,7.716916826743231e-33,3.29512348501936e-30
ENSG00000078549,ADCYAP1R1,15.196600418658772,7.905571846326966e-33,3.329436997855839e-30
ENSG00000111262,KCNA1,15.249763164905112,9.063298391576002e-33,3.765433050683954e-30
ENSG00000164122,ASB5,15.379754003343812,9.22086911451568e-33,3.7698677086942255e-30
ENSG00000122420,PTGFR,14.91343651181288,9.31921499677209e-33,3.7698677086942255e-30
ENSG00000104213,PDGFRL,14.922221194171465,9.6081063104913e-33,3.836254810516163e-30
ENSG00000198835,GJC2,14.913909019862247,1.0865524630645281e-32,4.2826883236481856e-30
ENSG00000069431,ABCC9,14.903617700053793,1.142889280156273e-32,4.392123503640557e-30
ENSG00000106819,ASPN,14.883449162936516,1.1320990561674314e-32,4.392123503640557e-30
ENSG00000254245,PCDHGA3,14.892416429425063,1.2917541064176108e-32,4.902924475025065e-30
ENSG00000120324,PCDHB10,14.855962650686045,1.3798044669358067e-32,5.173257137984688e-30
ENSG00000163710,PCOLCE2,14.86093379301511,1.4746901012996265e-32,5.462394274018761e-30
ENSG00000218336,TENM3,14.846823544885204,1.4930026489783545e-32,5.4643896952607776e-30
ENSG00000224958,PGM5-AS1,14.838136313314017,1.6046602233262856e-32,5.7441137107419125e-30
ENSG00000171873,ADRA1D,14.9021863941695,1.6067973559842717e-32,5.7441137107419125e-30
ENSG00000173068,BNC2,14.872627535074185,1.64457551434187e-32,5.811589610681201e-30
ENSG00000172020,GAP43,14.911824750424218,1.9297161741574964e-32,6.741726597533872e-30
ENSG00000144681,STAC,15.011627059139718,2.0333895944179097e-32,7.024104459638676e-30
ENSG00000100628,ASB2,14.79100001789161,2.072349920326868e-32,7.07914732783658e-30
ENSG00000080854,IGSF9B,14.709342883947711,3.552914483541307e-32,1.2003384932087245e-29
ENSG00000147234,FRMPD3,14.861033488564924,4.0350942540852713e-32,1.3484232363869302e-29
ENSG00000179008,C14orf39,15.118644685879605,4.775975267277418e-32,1.578844985130935e-29
ENSG00000162998,FRZB,14.652394454561291,5.52619073444166e-32,1.8074171057412168e-29
ENSG00000104332,SFRP1,15.019068668113839,5.652306481712124e-32,1.8292053734079738e-29
ENSG00000229619,MBNL1-AS1,15.007924293831678,5.817358339350899e-32,1.8514401195390603e-29
ENSG00000134533,RERG,14.635940570338832,5.841454969922224e-32,1.8514401195390603e-29
ENSG00000150051,MKX,14.644932247650571,6.331391019990986e-32,1.986247811414315e-29
ENSG00000229847,EMX2OS,14.871633016065177,8.328302314401935e-32,2.58631642781791e-29
ENSG00000143847,PPFIA4,14.541677706864917,1.0853890537631759e-31,3.336920106889508e-29
ENSG00000144847,IGSF11,14.611157030249592,1.2888072163756342e-31,3.923078124777475e-29
ENSG00000248174,LINC02268,14.547313881497725,1.4855169540111124e-31,4.4775228660899645e-29
ENSG00000182963,GJC1,14.490601941635948,1.5148365525593524e-31,4.4922943151314736e-29
ENSG00000149596,JPH2,14.549416900112762,1.5196415846138214e-31,4.4922943151314736e-29
ENSG00000087258,GNAO1,14.492630951677066,1.550090223644944e-31,4.538664174832396e-29
ENSG00000117152,RGS4,14.520573527927468,1.9541274161980667e-31,5.638770515080034e-29
ENSG00000101230,ISM1,14.446668741602204,1.9808327336346726e-31,5.638770515080034e-29
ENSG00000167332,OR51E2,14.505796381134719,1.974523085778285e-31,5.638770515080034e-29
ENSG00000186340,THBS2,14.492923948006856,2.0932661961447495e-31,5.904162929749924e-29
ENSG00000144810,COL8A1,14.496527415569492,2.1729383685382504e-31,6.073165200212724e-29
ENSG00000171812,COL8A2,14.41918290077181,2.623183881178858e-31,7.265510382248902e-29
ENSG00000166963,MAP1A,14.417158545957536,3.1938365363959576e-31,8.767081292406903e-29
ENSG00000004776,HSPB6,14.479903008644037,3.349539347903638e-31,9.113118381588446e-29
ENSG00000146469,VIP,14.547676737348132,3.5548991486492005e-31,9.587001704041317e-29
ENSG00000126950,TMEM35A,14.529169091207196,3.698139392276942e-31,9.886573693579331e-29
ENSG00000155511,GRIA1,14.520074696481462,3.8171813430025492e-31,1.0116846828385377e-28
ENSG00000204950,LRRC10B,14.445690637165203,3.8810716295218384e-31,1.0198262066497385e-28
ENSG00000067715,SYT1,14.565804399243843,4.1157167728365805e-31,1.0723186141024393e-28
ENSG00000164530,PI16,14.45490901975538,4.2739469719149815e-31,1.0949852142046182e-28
ENSG00000150510,FAM124A,14.539012864608546,4.2577345196457674e-31,1.0949852142046182e-28
ENSG00000167281,RBFOX3,15.11513517774932,4.699669264629914e-31,1.1941043956345624e-28
ENSG00000058866,DGKG,14.395487316183923,4.859477080931335e-31,1.2245882243946965e-28
ENSG00000171724,VAT1L,14.286246991031822,5.609092394484334e-31,1.401999484357938e-28
ENSG00000119771,KLHL29,14.287595921094894,5.7784402558191e-31,1.432680380845987e-28
ENSG00000130600,H19,14.284785258470473,6.3926415600155155e-31,1.572282976968936e-28
ENSG00000109132,PHOX2B,14.653656814524453,6.726837195364893e-31,1.6413482756690339e-28
ENSG00000206052,DOK6,14.24782955488302,7.202551074079254e-31,1.7435844899330128e-28
ENSG00000120328,PCDHB12,14.244133915198304,7.453263636622524e-31,1.7901807597212725e-28
ENSG00000108018,SORCS1,14.244702585385557,7.518974799926424e-31,1.7919640406894416e-28
ENSG00000151388,ADAMTS12,14.244180094751162,7.6703448391969745e-31,1.8139775518174754e-28
ENSG00000138650,PCDH10,14.267672764318267,7.814296744358352e-31,1.8339140389965893e-28
ENSG00000112208,BAG2,14.228473947665846,8.18979841478409e-31,1.907478503516076e-28
ENSG00000133083,DCLK1,14.24020781133522,8.620160950947836e-31,1.9889864230247418e-28
ENSG00000140285,FGF7,14.473042992866084,8.669144570820824e-31,1.9889864230247418e-28
ENSG00000105737,GRIK5,14.204081738457653,9.749835839691379e-31,2.2166262948828907e-28
ENSG00000123096,SSPN,14.315083355014867,9.805528756963087e-31,2.2166262948828907e-28
ENSG00000138944,SHISAL1,14.450773955495963,1.0469268410695364e-30,2.332370927669698e-28
ENSG00000106483,SFRP4,14.19130035893092,1.0419779805302399e-30,2.332370927669698e-28
ENSG00000260105,AOC4P,14.146402914440252,1.4844429268849584e-30,3.2832887297950473e-28
ENSG00000158560,DYNC1I1,14.425846134905056,1.5021691376419872e-30,3.298763426261804e-28
ENSG00000115593,SMYD1,14.847901499775444,1.5185338164370104e-30,3.311049904435422e-28
ENSG00000197479,PCDHB11,14.171260089648852,1.548296307803018e-30,3.3521705413447875e-28
ENSG00000188869,TMC3,14.175474948200149,1.5662417380704546e-30,3.367310209457207e-28
ENSG00000121297,TSHZ3,14.245310833425517,1.6117408664073276e-30,3.4410667497796443e-28
ENSG00000148516,ZEB1,14.19772087077859,1.6785032167005162e-30,3.530408736701489e-28
ENSG00000130037,KCNA5,14.196106144818549,1.6766617191861016e-30,3.530408736701489e-28
ENSG00000119147,ECRG4,14.292313129894845,1.6880369642698376e-30,3.530408736701489e-28
ENSG00000171502,COL24A1,14.465423256949082,2.117785944955586e-30,4.399271019710441e-28
ENSG00000122691,TWIST1,14.47912946511285,2.383448872313445e-30,4.91790282754393e-28
ENSG00000148053,NTRK2,14.07697512222333,2.451646289604937e-30,5.0248942351742785e-28
ENSG00000196376,SLC35F1,14.0433105701513,2.80579560840411e-30,5.700169567830153e-28
ENSG00000123094,RASSF8,14.188854524757412,2.818194686150739e-30,5.700169567830153e-28
ENSG00000260802,SERTM2,14.500671541708382,2.86068683756616e-30,5.748297786544707e-28
ENSG00000171819,ANGPTL7,14.027889072867671,3.0416681016083383e-30,6.072275591938101e-28
ENSG00000183114,FAM43B,14.219106065407411,3.1345519574891396e-30,6.215005415574798e-28
ENSG00000156140,ADAMTS3,14.069816372523968,3.153593692524293e-30,6.215005415574798e-28
ENSG00000081853,PCDHGA2,14.03319406194705,3.2141357041599155e-30,6.293973763610984e-28
ENSG00000188730,VWC2,14.018375055783416,3.2567111740236414e-30,6.2971275681876e-28
ENSG00000135406,PRPH,14.205273193342359,3.248597691662887e-30,6.2971275681876e-28
ENSG00000145777,TSLP,14.225753442219277,3.334317121340915e-30,6.4068903486565685e-28
ENSG00000064309,CDON,14.25478474511394,3.478772409158453e-30,6.642942791749532e-28
ENSG00000183908,LRRC55,14.035770647694155,3.511557625666823e-30,6.6641560273765935e-28
ENSG00000163273,NPPC,14.049442379957057,3.890789541128408e-30,7.3385542118068575e-28
ENSG00000140506,LMAN1L,14.654937429814666,3.967548807906329e-30,7.437702472577571e-28
ENSG00000215386,MIR99AHG,14.040317014318834,4.188422481007397e-30,7.804173379157055e-28
ENSG00000165186,PTCHD1,14.248729791452591,4.491721150663223e-30,8.318884039517477e-28
ENSG00000197321,SVIL,13.955079804402793,4.9016823316002286e-30,9.02379171273757e-28
ENSG00000182575,NXPH3,13.948315878958363,5.163821614754474e-30,9.449793555000687e-28
ENSG00000127951,FGL2,13.980159797246975,5.43355246248504e-30,9.884564314002371e-28
ENSG00000125355,TMEM255A,13.973537285768831,5.92653386891972e-30,1.071796219212164e-27
ENSG00000172548,NIPAL4,14.319411011861995,6.872136344339105e-30,1.2355377764348622e-27
ENSG00000106809,OGN,14.00716395472674,7.378173154498485e-30,1.3188055550110547e-27
ENSG00000124212,PTGIS,13.900845560362832,7.44019084167057e-30,1.3222036256434682e-27
ENSG00000197380,DACT3,13.924036106703824,7.8584168671286e-30,1.3885009664540325e-27
ENSG00000091986,CCDC80,13.992134161239932,8.344950513775113e-30,1.466040906260012e-27
ENSG00000134198,TSPAN2,13.887038253133904,9.087386637662537e-30,1.5804421448532047e-27
ENSG00000174099,MSRB3,13.961365997929331,9.0989545810245e-30,1.5804421448532047e-27
ENSG00000015592,STMN4,13.913511024208116,9.952973074294683e-30,1.7190685628995268e-27
ENSG00000115556,PLCD4,14.002946660719658,1.0016514366769988e-29,1.7203783111283605e-27
ENSG00000123119,NECAB1,13.83268210279701,1.0905948430399412e-29,1.8627359919122196e-27
ENSG00000164949,GEM,14.044774376570876,1.0979778398092527e-29,1.864985121938987e-27
ENSG00000198523,PLN,13.906470378020911,1.1484906335483555e-29,1.9400657163632218e-27
ENSG00000149575,SCN2B,13.814049211277014,1.2484562565295695e-29,2.097406510969677e-27
ENSG00000186684,CYP27C1,13.861177355453044,1.279163362163189e-29,2.125762076018653e-27
ENSG00000270607,LEISA1,13.853747471097451,1.275031642965726e-29,2.125762076018653e-27
ENSG00000177363,LRRN4CL,13.870202278816038,1.3087320425011712e-29,2.163207414766452e-27
ENSG00000231346,LINC01160,13.822650800493541,1.3261043117608836e-29,2.1802005861377863e-27
