Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000180447,GAS1,11.940677370987695,4.117277215320039e-29,5.0413118589297224e-26
ENSG00000262655,SPON1,11.9069195193361,5.264619818034277e-29,6.223869856603005e-26
ENSG00000177363,LRRN4CL,11.89461047639497,5.887941168978868e-29,6.72873916790905e-26
ENSG00000121297,TSHZ3,11.759328146919612,2.0870437162517338e-28,2.308135702192724e-25
ENSG00000087245,MMP2,11.713580379429338,3.133031043960956e-28,3.3566511347236697e-25
ENSG00000230630,DNM3OS,11.644808087382797,6.114071645918667e-28,6.351964615414412e-25
ENSG00000019549,SNAI2,11.618133998060966,8.33907383298185e-28,8.408729626174992e-25
ENSG00000176971,FIBIN,11.560871729558473,1.2888666512798166e-27,1.262500122070778e-24
ENSG00000106823,ECM2,11.555483102939206,1.3682134840600864e-27,1.3029953079865555e-24
ENSG00000122870,BICC1,11.507588829579046,2.119524429865937e-27,1.963939879824967e-24
ENSG00000072952,IRAG1,11.480181919695376,2.7163798617916848e-27,2.450746504780687e-24
ENSG00000165424,ZCCHC24,11.475376891616607,3.2053630609745604e-27,2.8177606969859442e-24
ENSG00000091986,CCDC80,11.445397480559244,3.748971902733377e-27,3.2132438178327772e-24
ENSG00000197380,DACT3,11.40828483366646,5.282801207848566e-27,4.417452600240981e-24
ENSG00000166250,CLMP,11.374622953785108,7.133364897684298e-27,5.822863860766869e-24
ENSG00000113083,LOX,11.265073940631753,1.961528466547238e-26,1.563931208072221e-23
ENSG00000186310,NAP1L3,11.247646084461659,2.3269825642543385e-26,1.813142505293085e-23
ENSG00000177469,CAVIN1,11.214574450895146,3.063822368068187e-26,2.2909773567948817e-23
ENSG00000162733,DDR2,11.215015828177963,3.0738816477821886e-26,2.2909773567948817e-23
ENSG00000159403,C1R,11.213643124736576,3.155890364110274e-26,2.3020541541097157e-23
ENSG00000169604,ANTXR1,11.212047500759565,3.265883696157649e-26,2.3326574299806007e-23
ENSG00000167601,AXL,11.145652868632855,5.77873664140415e-26,4.0432287145693855e-23
ENSG00000204381,LAYN,11.140699881038351,6.193673897545326e-26,4.2468783180688793e-23
ENSG00000198795,ZNF521,11.117557181275705,8.699205196210214e-26,5.847912763664137e-23
ENSG00000102271,KLHL4,11.03364210932722,1.5843754850991874e-25,1.0445909448296258e-22
ENSG00000112769,LAMA4,11.022566430648391,1.864198977278044e-25,1.2058905233396314e-22
ENSG00000107562,CXCL12,11.002920398137661,2.0639521742505094e-25,1.3103803026297123e-22
ENSG00000163430,FSTL1,10.978616539651085,2.5868843722351884e-25,1.583727568173414e-22
ENSG00000138185,ENTPD1,10.983390330047364,2.551337614879282e-25,1.583727568173414e-22
ENSG00000144810,COL8A1,10.95546407075622,3.4176414438044935e-25,2.055621390515671e-22
ENSG00000113721,PDGFRB,10.92526761123527,4.560443625414038e-25,2.695693952649911e-22
ENSG00000109099,PMP22,10.871998071662368,7.003288560781422e-25,4.0695041528445815e-22
ENSG00000178033,CALHM5,10.870124528615477,7.267820403092526e-25,4.1528325783270693e-22
ENSG00000189320,FAM180A,10.876110288306206,7.425070749087371e-25,4.1731332059296957e-22
ENSG00000162614,NEXN,10.852491656218259,8.036775262445724e-25,4.444077469317568e-22
ENSG00000169504,CLIC4,10.842056872377508,8.773553281595353e-25,4.77448413819389e-22
ENSG00000127083,OMD,10.765320727826333,1.78873499080767e-24,9.582029753882836e-22
ENSG00000120594,PLXDC2,10.748434954412446,2.0049605564453073e-24,1.0575087341103218e-21
ENSG00000182916,TCEAL7,10.70407243599303,2.987607499936392e-24,1.5519262958760494e-21
ENSG00000121440,PDZRN3,10.68171703158594,3.781066714850722e-24,1.934777481372271e-21
ENSG00000101230,ISM1,10.664697882082887,4.5940379193891185e-24,2.3162058239461254e-21
ENSG00000111817,DSE,10.60404696714126,7.13160120330113e-24,3.543475589188057e-21
ENSG00000166033,HTRA1,10.606421208583999,8.038084020228822e-24,3.936823893564642e-21
ENSG00000118473,SGIP1,10.592033050621076,8.18270243788553e-24,3.951208033527711e-21
ENSG00000079819,EPB41L2,10.579602214239475,9.83699768801313e-24,4.684050399108919e-21
ENSG00000168461,RAB31,10.567638946459132,1.0942689118530095e-23,5.1391664895847365e-21
ENSG00000151917,BEND6,10.55045001214247,1.1387447102596595e-23,5.275773465748941e-21
ENSG00000137801,THBS1,10.53200693712012,1.3308559637194986e-23,6.00356129738938e-21
ENSG00000139278,GLIPR1,10.53549886868649,1.3262623147809743e-23,6.00356129738938e-21
ENSG00000119699,TGFB3,10.500919752904222,1.745593222868423e-23,7.750100213654928e-21
ENSG00000106511,MEOX2,10.502866706391945,1.7632359604045165e-23,7.750100213654928e-21
ENSG00000026103,FAS,10.524098307306192,2.0632833736962593e-23,8.954127491620576e-21
ENSG00000113140,SPARC,10.48019175057173,2.159388286562088e-23,9.254058502061826e-21
ENSG00000183580,FBXL7,10.462133812629038,2.4647997981766624e-23,1.0432493367986258e-20
ENSG00000007237,GAS7,10.383850274381667,5.451284304991878e-23,2.279168672101726e-20
ENSG00000183853,KIRREL1,10.36704954820123,6.230184954507759e-23,2.5734416985583614e-20
ENSG00000102935,ZNF423,10.322053328763642,8.348940511688905e-23,3.4075604345564574e-20
